data,produto,municipio,tipo,peso,preco
25/03/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 112,50"
29/03/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 112,50"
31/03/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 112,50"
06/04/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 112,50"
08/04/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 112,50"
12/04/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 112,50"
14/04/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 112,50"
16/04/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 112,50"
20/04/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 90,00"
10/03/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 150,00"
12/03/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 150,00"
16/03/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 135,00"
18/03/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 135,00"
22/03/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 112,50"
24/03/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 112,50"
26/03/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 112,50"
30/03/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 112,50"
05/04/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 112,50"
07/04/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 112,50"
09/04/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 112,50"
13/04/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 112,50"
15/04/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 112,50"
19/04/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 112,50"
22/04/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 90,00"
23/04/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 90,00"
27/04/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 90,00"
29/04/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 90,00"
03/05/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 90,00"
05/05/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 90,00"
07/05/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 90,00"
11/05/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 90,00"
13/05/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 90,00"
17/05/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 90,00"
19/05/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 135,00"
21/05/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 135,00"
25/05/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 135,00"
27/05/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 135,00"
31/05/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 135,00"
02/06/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 135,00"
26/04/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 90,00"
28/04/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 90,00"
30/04/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 90,00"
04/05/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 90,00"
06/05/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 90,00"
10/05/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 90,00"
12/05/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 90,00"
14/05/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 90,00"
18/05/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 90,00"
20/05/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 135,00"
24/05/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 135,00"
26/05/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 135,00"
28/05/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 135,00"
01/06/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 135,00"
04/06/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 135,00"
07/06/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 135,00"
09/06/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 135,00"
11/06/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 135,00"
15/06/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 135,00"
17/06/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 135,00"
21/06/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 135,00"
23/06/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 120,00"
28/06/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 120,00"
30/06/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 120,00"
05/07/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 120,00"
07/07/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 120,00"
12/07/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 120,00"
14/07/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 120,00"
16/07/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 120,00"
20/07/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 120,00"
08/06/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 135,00"
10/06/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 135,00"
14/06/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 135,00"
16/06/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 135,00"
18/06/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 135,00"
22/06/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 135,00"
25/06/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 120,00"
29/06/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 120,00"
01/07/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 120,00"
06/07/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 120,00"
08/07/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 120,00"
13/07/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 120,00"
15/07/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 120,00"
19/07/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 120,00"
21/07/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 120,00"
22/07/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 127,50"
26/07/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 127,50"
28/07/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 120,00"
30/07/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 120,00"
03/08/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 120,00"
05/08/2021,Abacate,SALVADOR,(comum),cx 30 kg,sem cotação
09/08/2021,Abacate,SALVADOR,(comum),cx 30 kg,sem cotação
11/08/2021,Abacate,SALVADOR,(comum),cx 30 kg,sem cotação
13/08/2021,Abacate,SALVADOR,(comum),cx 30 kg,sem cotação
17/08/2021,Abacate,SALVADOR,(comum),cx 30 kg,sem cotação
19/08/2021,Abacate,SALVADOR,(comum),cx 30 kg,sem cotação
23/08/2021,Abacate,SALVADOR,(comum),cx 30 kg,sem cotação
25/08/2021,Abacate,SALVADOR,(comum),cx 30 kg,sem cotação
27/08/2021,Abacate,SALVADOR,(comum),cx 30 kg,sem cotação
31/08/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 150,00"
23/07/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 127,50"
27/07/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 120,00"
29/07/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 120,00"
02/08/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 120,00"
04/08/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 120,00"
06/08/2021,Abacate,SALVADOR,(comum),cx 30 kg,sem cotação
10/08/2021,Abacate,SALVADOR,(comum),cx 30 kg,sem cotação
12/08/2021,Abacate,SALVADOR,(comum),cx 30 kg,sem cotação
16/08/2021,Abacate,SALVADOR,(comum),cx 30 kg,sem cotação
18/08/2021,Abacate,SALVADOR,(comum),cx 30 kg,sem cotação
20/08/2021,Abacate,SALVADOR,(comum),cx 30 kg,sem cotação
24/08/2021,Abacate,SALVADOR,(comum),cx 30 kg,sem cotação
26/08/2021,Abacate,SALVADOR,(comum),cx 30 kg,sem cotação
30/08/2021,Abacate,SALVADOR,(comum),cx 30 kg,sem cotação
01/09/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 150,00"
02/09/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 150,00"
06/09/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 150,00"
09/09/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 150,00"
13/09/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 150,00"
15/09/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 150,00"
17/09/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 150,00"
21/09/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 150,00"
23/09/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 150,00"
27/09/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 150,00"
29/09/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 150,00"
01/10/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 150,00"
05/10/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 150,00"
07/10/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 150,00"
13/10/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 150,00"
15/10/2021,Abacate,SALVADOR,(comum),cx 30 kg,sem cotação
03/09/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 150,00"
08/09/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 150,00"
10/09/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 150,00"
14/09/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 150,00"
16/09/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 150,00"
20/09/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 150,00"
22/09/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 150,00"
24/09/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 150,00"
28/09/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 150,00"
30/09/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 150,00"
04/10/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 150,00"
06/10/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 150,00"
08/10/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 150,00"
14/10/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 150,00"
18/10/2021,Abacate,SALVADOR,(comum),cx 30 kg,sem cotação
19/10/2021,Abacate,SALVADOR,(comum),cx 30 kg,sem cotação
21/10/2021,Abacate,SALVADOR,(comum),cx 30 kg,sem cotação
25/10/2021,Abacate,SALVADOR,(comum),cx 30 kg,sem cotação
27/10/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 225,00"
29/10/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 225,00"
04/11/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 225,00"
08/11/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 225,00"
10/11/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 225,00"
12/11/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 225,00"
17/11/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 225,00"
19/11/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 225,00"
22/11/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 225,00"
24/11/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 225,00"
26/11/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 225,00"
30/11/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 225,00"
20/10/2021,Abacate,SALVADOR,(comum),cx 30 kg,sem cotação
22/10/2021,Abacate,SALVADOR,(comum),cx 30 kg,sem cotação
26/10/2021,Abacate,SALVADOR,(comum),cx 30 kg,sem cotação
28/10/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 225,00"
03/11/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 225,00"
05/11/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 225,00"
09/11/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 225,00"
11/11/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 225,00"
16/11/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 225,00"
18/11/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 225,00"
20/11/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 225,00"
23/11/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 225,00"
25/11/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 225,00"
29/11/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 225,00"
01/12/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 225,00"
02/12/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 225,00"
06/12/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 255,00"
09/12/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 255,00"
13/12/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 255,00"
15/12/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 270,00"
17/12/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 270,00"
21/12/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 285,00"
23/12/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 285,00"
28/12/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 255,00"
03/01/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 255,00"
05/01/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 255,00"
07/01/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 255,00"
11/01/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 255,00"
13/01/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 255,00"
17/01/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 210,00"
03/12/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 225,00"
07/12/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 255,00"
10/12/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 255,00"
14/12/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 270,00"
16/12/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 270,00"
20/12/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 270,00"
22/12/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 285,00"
27/12/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 285,00"
29/12/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 255,00"
04/01/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 255,00"
06/01/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 255,00"
10/01/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 255,00"
12/01/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 255,00"
14/01/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 255,00"
18/01/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 210,00"
19/01/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 210,00"
21/01/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 210,00"
25/01/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 165,00"
27/01/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 165,00"
31/01/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 132,50"
02/02/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 132,50"
04/02/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 132,50"
08/02/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 132,50"
10/02/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 100,00"
14/02/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 100,00"
16/02/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 150,00"
18/02/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 150,00"
22/02/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 150,00"
24/02/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 150,00"
28/02/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 150,00"
20/01/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 210,00"
24/01/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 165,00"
26/01/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 165,00"
28/01/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 165,00"
01/02/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 132,50"
03/02/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 132,50"
07/02/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 132,50"
09/02/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 100,00"
11/02/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 100,00"
15/02/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 150,00"
17/02/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 150,00"
21/02/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 150,00"
23/02/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 150,00"
25/02/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 150,00"
01/03/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 122,50"
02/03/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 122,50"
04/03/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 122,50"
08/03/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 135,00"
10/03/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 135,00"
14/03/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 135,00"
16/03/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 150,00"
18/03/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 150,00"
22/03/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 105,00"
24/03/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 105,00"
28/03/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 105,00"
30/03/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 105,00"
01/04/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 105,00"
05/04/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 105,00"
07/04/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 105,00"
11/04/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 105,00"
03/03/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 122,50"
07/03/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 135,00"
09/03/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 135,00"
11/03/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 135,00"
15/03/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 150,00"
17/03/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 150,00"
21/03/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 150,00"
23/03/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 105,00"
25/03/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 105,00"
29/03/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 105,00"
31/03/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 105,00"
04/04/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 105,00"
06/04/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 105,00"
08/04/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 105,00"
12/04/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 105,00"
13/04/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 105,00"
18/04/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 105,00"
20/04/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 105,00"
25/04/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 90,00"
27/04/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 90,00"
29/04/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 90,00"
03/05/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 97,50"
05/05/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 105,00"
09/05/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 105,00"
11/05/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 105,00"
13/05/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 105,00"
17/05/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 105,00"
19/05/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 120,00"
23/05/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 120,00"
25/05/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 120,00"
14/04/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 105,00"
19/04/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 105,00"
22/04/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 90,00"
26/04/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 90,00"
28/04/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 90,00"
02/05/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 90,00"
04/05/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 97,50"
06/05/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 105,00"
10/05/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 105,00"
12/05/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 105,00"
16/05/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 105,00"
18/05/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 120,00"
20/05/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 120,00"
24/05/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 120,00"
26/05/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 120,00"
27/05/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 120,00"
31/05/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 120,00"
02/06/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 120,00"
06/06/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 120,00"
08/06/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 135,00"
10/06/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 135,00"
14/06/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 120,00"
20/06/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 120,00"
22/06/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 120,00"
28/06/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 130,00"
30/06/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 130,00"
04/07/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 130,00"
06/07/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 130,00"
08/07/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 130,00"
12/07/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 130,00"
30/05/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 120,00"
01/06/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 120,00"
03/06/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 120,00"
07/06/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 165,00"
09/06/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 135,00"
13/06/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 120,00"
15/06/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 120,00"
21/06/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 120,00"
27/06/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 120,00"
29/06/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 130,00"
01/07/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 130,00"
05/07/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 130,00"
07/07/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 130,00"
11/07/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 130,00"
13/07/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 130,00"
14/07/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 130,00"
18/07/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 130,00"
20/07/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 130,00"
22/07/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 130,00"
26/07/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 130,00"
28/07/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 130,00"
01/08/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 130,00"
03/08/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 130,00"
05/08/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 130,00"
09/08/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 150,00"
11/08/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 150,00"
15/08/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 150,00"
17/08/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 150,00"
19/08/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 150,00"
23/08/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 150,00"
15/07/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 130,00"
19/07/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 130,00"
21/07/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 130,00"
25/07/2022,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 130,00"
